,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,Licensed,official_video,Stream
15250,The Weeknd,Blinding Lights,After Hours,album,0.514,0.73,1,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,200040,TheWeekndVEVO,674164500,8817927,282589,TRUE,TRUE,3386520288
12452,Ed Sheeran,Shape of You,÷ (Deluxe),album,0.825,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,233713,Ed Sheeran,5908398479,31047780,1130327,TRUE,TRUE,3362005201
19186,Lewis Capaldi,Someone You Loved,Divinely Uninspired To A Hellish Extent,album,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,182161,LewisCapaldiVEVO,586768373,7367091,147565,TRUE,TRUE,2634013335
17937,Post Malone,rockstar (feat. 21 Savage),beerbongs & bentleys,album,0.585,0.52,5,-6.136,0.0712,0.124,7.01E-05,0.131,0.129,159.801,218147,PostMaloneVEVO,1060220169,12564657,366520,TRUE,TRUE,2594926619
17938,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,album,0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,157560,PostMaloneVEVO,1977389041,13749813,331063,TRUE,TRUE,2538329799
17445,Swae Lee,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,album,0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,157560,PostMaloneVEVO,1977389027,13749806,331064,TRUE,TRUE,2538329799
13503,Drake,One Dance,Views,album,0.792,0.625,1,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,Billion Stars,169288294,1662640,13775,FALSE,FALSE,2522431995
16028,Halsey,Closer,Closer,single,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01,244960,ChainsmokersVEVO,455914466,3423268,93021,TRUE,TRUE,2456205158
16099,The Chainsmokers,Closer,Closer,single,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01,244960,ChainsmokersVEVO,455914466,3423268,93021,TRUE,TRUE,2456205158
14030,Imagine Dragons,Believer,Evolve,album,0.776,0.78,10,-4.374,0.128,0.0622,0,0.081,0.666,124.949,204347,ImagineDragonsVEVO,2369714846,20483444,613230,TRUE,TRUE,2369272335
19623,The Kid LAROI,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,album,0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,141806,TheKidLAROIVEVO,681211407,10131493,247007,TRUE,TRUE,2365777505
14069,Justin Bieber,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,album,0.591,0.764,1,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,141806,TheKidLAROIVEVO,681205578,10131328,247007,TRUE,TRUE,2365777505
18046,Camila Cabello,Señorita,Shawn Mendes (Deluxe),album,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,190800,ShawnMendesVEVO,1487650910,19846122,640320,TRUE,TRUE,2336219850
17288,Shawn Mendes,Señorita,Shawn Mendes (Deluxe),album,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,190800,ShawnMendesVEVO,1487649395,19846114,640320,TRUE,TRUE,2336219850
12449,Ed Sheeran,Perfect,÷ (Deluxe),album,0.599,0.448,8,-6.312,0.0232,0.163,0,0.106,0.168,95.05,263400,Ed Sheeran,3361086287,19033010,486143,TRUE,TRUE,2312689776
