,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,Licensed,official_video,Stream
1147,Luis Fonsi,Despacito,VIDA,album,0.655,0.797,2,-4.787,0.153,0.198,0,0.067,0.839,177.928,229360,LuisFonsiVEVO,8079649362,50788652,4252791,TRUE,TRUE,1506598267
365,Daddy Yankee,Despacito,VIDA,album,0.655,0.797,2,-4.787,0.153,0.198,0,0.067,0.839,177.928,229360,LuisFonsiVEVO,8079646911,50788626,4252791,TRUE,TRUE,1506598267
12452,Ed Sheeran,Shape of You,÷ (Deluxe),album,0.825,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,233713,Ed Sheeran,5908398479,31047780,1130327,TRUE,TRUE,3362005201
14580,Charlie Puth,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),single,0.689,0.481,10,-7.503,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,229526,Wiz Khalifa Music,5773798407,40147674,2127346,TRUE,TRUE,1521254554
12469,Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),single,0.689,0.481,10,-7.503,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,229526,Wiz Khalifa Music,5773797147,40147618,2127345,TRUE,TRUE,1521254554
20303,CoComelon,Wheels on the Bus,"CoComelon Kids Hits, Vol. 1",album,0.941,0.387,9,-11.92,0.0427,0.184,2.88E-05,0.157,0.965,125.021,207340,Cocomelon - Nursery Rhymes,4898831101,14396841,0,TRUE,TRUE,83434355
10686,Mark Ronson,Uptown Funk (feat. Bruno Mars),Uptown Special,album,0.856,0.609,0,-7.223,0.0824,0.00801,8.15E-05,0.0344,0.928,114.988,269667,MarkRonsonVEVO,4821016218,20067879,598916,TRUE,TRUE,1653819736
8937,PSY,Gangnam Style (강남스타일),Gangnam Style (강남스타일),single,0.727,0.937,11,-2.871,0.286,0.00417,0,0.091,0.749,132.067,219493,officialpsy,4679767471,26399133,5331537,FALSE,FALSE,370991124
9569,Maroon 5,Sugar,V,album,0.748,0.788,1,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,235493,Maroon5VEVO,3817733132,15340646,415496,TRUE,TRUE,1502780803
13032,Katy Perry,Roar,PRISM,album,0.671,0.771,7,-4.821,0.0316,0.00492,7.28E-06,0.354,0.436,90.003,223546,KatyPerryVEVO,3725748519,15864499,763366,TRUE,TRUE,884721001
13040,OneRepublic,Counting Stars,Native,album,0.664,0.705,1,-4.972,0.0382,0.0654,0,0.115,0.477,122.017,257840,OneRepublicVEVO,3721610307,16558621,475191,TRUE,TRUE,1805319715
14074,Justin Bieber,Sorry,Purpose (Deluxe),album,0.654,0.76,0,-3.669,0.045,0.0797,0,0.299,0.41,99.945,200787,JustinBieberVEVO,3627305503,15789307,865675,TRUE,TRUE,1740759086
12455,Ed Sheeran,Thinking out Loud,x (Wembley Edition),album,0.781,0.445,2,-6.061,0.0295,0.474,0,0.184,0.591,78.998,281560,Ed Sheeran,3547155867,14343730,362545,TRUE,TRUE,2154334378
20304,CoComelon,Baa Baa Black Sheep,"CoComelon Kids Hits, Vol. 1",album,0.711,0.396,0,-11.266,0.0486,0.829,3.00E-05,0.119,0.969,199.955,147781,Cocomelon - Nursery Rhymes,3486504328,8943443,0,TRUE,TRUE,46554351
